slug,id,display_name,baseline_version,new_version,functional_class,source_support,source_refs,summary_review,purpose_review,problem_review,mechanism_review,procedure_review,trigger_review,os_fit_review,task_mapping_review,interaction_review,example_review,test_review,metadata_review,provenance_review,semantic_specificity,final_status,version_reason,notes
activation-budget-funnel,T2-16,Activation-Budget Funnel,1.0.0,1.1.0,context-retrieval;state,sufficiently-recovered,OS_Upgradeable_to_Skills_Translation_Catalog_v2_Recovery_Merged.md — T2-16. ABF — Activation-Budget Funnel (current_consolidated_catalog); OS_Upgradeables_Historical_Recovery_Inventory.md — ABF — Activation-Budget Funnel (historical_recovery_inventory); OS_Upgradeables_Deep_Context_Recovery_Addendum_2026-09-03.md — 18. ABF — DEEP CONTEXT IMPLICATION (historical_assistant_artifact),PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Minor version: compatible semantic detail, metadata, examples, and behavior cases were added without changing package identity.","The name, sequence, operating heuristic, rationale, and historical task mappings are explicitly recovered in all three source documents."
adapter-first-experimentation,T2-21,Adapter-First Experimentation,1.0.0,1.1.0,meta-control;orchestration,sufficiently-recovered,OS_Upgradeable_to_Skills_Translation_Catalog_v2_Recovery_Merged.md — T2-21. Adapter-First Experimentation (recovered-operational-definition); OS_Upgradeables_Historical_Recovery_Inventory.md — 11. Advanced architecture Upgradeables retained (recovered-name-and-placement); OS_Upgradeables_Deep_Context_Recovery_Addendum_2026-09-03.md — 19.5 OS / Skill construction (recovered-historical-use),PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Minor version: compatible semantic detail, metadata, examples, and behavior cases were added without changing package identity.","The recovered catalog explicitly specifies prototype as adapter, evaluate, then promote only after demonstrated value."
anti-tunnel-vision,T2-19,Anti-Tunnel Vision,1.0.0,1.1.0,planning-reasoning;validation,sufficiently-recovered,OS_Upgradeable_to_Skills_Translation_Catalog_v2_Recovery_Merged.md — T2-19. Anti-Tunnel Vision (recovered-operational-definition); OS_Upgradeables_Historical_Recovery_Inventory.md — 1. Canonical current consolidated inventory (recovered-name-and-id),PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Minor version: compatible semantic detail, metadata, examples, and behavior cases were added without changing package identity.",The recovered source explicitly defines a small bounded alternative set and rapid collapse on decisive evidence.
architect-orchestrator,O-01,Architect Orchestrator,1.0.0,1.1.0,orchestration;meta-control;planning-reasoning,sufficiently-recovered,OS_Upgradeable_to_Skills_Translation_Catalog_v2_Recovery_Merged.md — O-01. Architect Orchestrator (current_consolidated_catalog),PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Minor version: compatible semantic detail, metadata, examples, and behavior cases were added without changing package identity.","Historical identity, purpose, and core behavior are recovered; v0.2 states the mechanism explicitly without claiming hidden capabilities."
attention-compression-scaffold,JAN26-02,Attention Compression Scaffold,1.0.0,1.1.0,context-retrieval;state,source-gap,"OS_Upgradeables_Historical_Recovery_Inventory.md — Initial named Upgradeables (historical_recovery_inventory); OS_Upgradeable_to_Skills_Translation_Catalog_v2_Recovery_Merged.md — January 5, 2026 training / scaffolding Upgradeables (current_consolidated_catalog); OS_Upgradeables_Deep_Context_Recovery_Addendum_2026-09-03.md — Semantic anchoring, context compression, and index-preserving retrieval (related_architectural_context)",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,BLOCKED_BY_SOURCE_GAP,"Minor version: compatible semantic detail, metadata, examples, and behavior cases were added without changing package identity.",All three archives were searched. The catalog and inventory recover the exact January 2026 name only; the Deep Context Addendum contains no direct mention. The procedure is therefore explicitly provisional.
authenticity-anti-evasion,T3-18,Authenticity & Anti-Evasion Principle,1.0.0,1.1.0,truth-grounding;output,sufficiently-recovered,OS_Upgradeable_to_Skills_Translation_Catalog_v2_Recovery_Merged.md — T3-18. Authenticity & Anti-Evasion Principle (current_consolidated_catalog); OS_Upgradeables_Historical_Recovery_Inventory.md — 8. Tier-3 / Paper-Author alignment family recovered from late-November work (historical_recovery_inventory); OS_Upgradeables_Deep_Context_Recovery_Addendum_2026-09-03.md — 13.2 Primary user-specified goals (direct_user_spec),PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Minor version: compatible semantic detail, metadata, examples, and behavior cases were added without changing package identity.",The recovered purpose is explicit; the evidence-binding procedure is a conservative operational normalization of that purpose.
authority-anchor-enforcement,JAN26-12,Authority Anchor Enforcement,1.0.0,1.1.0,orchestration;validation,source-gap,OS_Upgradeables_Historical_Recovery_Inventory.md — Pack-derived Upgradeables — Authority Anchor Enforcement (historical_recovery_inventory); OS_Upgradeable_to_Skills_Translation_Catalog_v2_Recovery_Merged.md — Pack-derived exact names — Authority Anchor Enforcement (current_consolidated_catalog),PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,BLOCKED_BY_SOURCE_GAP,"Minor version: compatible semantic detail, metadata, examples, and behavior cases were added without changing package identity.",The historical name is recovered but the full original mechanism is not. This operational package remains provisional and labels its v0.2 mechanism as a modern interpretation.
behavior-gene-builder,BG-00,Behavior Gene Builder,1.0.0,1.1.0,meta-control;orchestration,sufficiently-recovered,OS_Upgradeable_to_Skills_Translation_Catalog_v2_Recovery_Merged.md — PART IX. BEHAVIOR GENE OS (recovered-definition-and-schema); OS_Upgradeables_Historical_Recovery_Inventory.md — 12. Behavior Gene OS and known Genes (recovered-family-inventory); OS_Upgradeables_Deep_Context_Recovery_Addendum_2026-09-03.md — 14. BEHAVIOR GENE + CORE SEPARATION — HISTORICAL GENESIS (deep-recovered-template-and-boundaries),PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Minor version: compatible semantic detail, metadata, examples, and behavior cases were added without changing package identity.",The corpus recovers both a twelve-field schema and the strict historical separation between modular Genes and consolidated Cores.
bidirectional-consistency,T2-18,Bidirectional Consistency,1.0.0,1.1.0,validation;planning-reasoning,sufficiently-recovered,OS_Upgradeable_to_Skills_Translation_Catalog_v2_Recovery_Merged.md — T2-18. Bidirectional Consistency (current_consolidated_catalog); OS_Upgradeables_Historical_Recovery_Inventory.md — T2-18. Bidirectional Consistency (historical_recovery_inventory); OS_Upgradeables_Deep_Context_Recovery_Addendum_2026-09-03.md — 10.6 Global verification (recovered_operating_detail),PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Minor version: compatible semantic detail, metadata, examples, and behavior cases were added without changing package identity.",The two-direction validation function is directly recovered; the reconstruction procedure makes its distinction operational.
bounded-exit,T2-01,Bounded ExIt,1.0.0,1.1.0,planning-reasoning;validation,sufficiently-recovered,OS_Upgradeable_to_Skills_Translation_Catalog_v2_Recovery_Merged.md — T2-01. Bounded ExIt (recovered-operational-definition); OS_Upgradeables_Historical_Recovery_Inventory.md — 1. Canonical current consolidated inventory (recovered-name-and-id); OS_Upgradeables_Deep_Context_Recovery_Addendum_2026-09-03.md — 9. BOUNDED EXIT — DEEPER HISTORICAL USE (deep-recovered-mechanism),PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Minor version: compatible semantic detail, metadata, examples, and behavior cases were added without changing package identity.",Operational behavior is deeply recovered; only the historical expansion of the ExIt acronym remains unknown.
citation-fidelity,T3-13,Citation Fidelity Gate,1.0.0,1.1.0,validation;truth-grounding,sufficiently-recovered,OS_Upgradeable_to_Skills_Translation_Catalog_v2_Recovery_Merged.md — T3-13. Citation Fidelity Gate (current_consolidated_catalog); OS_Upgradeables_Historical_Recovery_Inventory.md — T3-13. Citation Fidelity Gate (historical_recovery_inventory); OS_Upgradeables_Deep_Context_Recovery_Addendum_2026-09-03.md — 17. VERBATIM-COPY / FIDELITY WORKFLOW (direct_user_operating_rule),PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Minor version: compatible semantic detail, metadata, examples, and behavior cases were added without changing package identity.",Directly recovered fidelity invariants are preserved as separate gates rather than compressed into a generic fact check.
clarification-gateway,T1-03,Clarification Gateway,1.0.0,1.1.0,framing-intake;orchestration,sufficiently-recovered,"OS_Upgradeable_to_Skills_Translation_Catalog_v2_Recovery_Merged.md — T1-03. Clarification Gateway / Clarification-First (current_consolidated_catalog); OS_Upgradeables_Historical_Recovery_Inventory.md — January 5 scaffolding classification (historical_recovery_inventory); OS_Upgradeables_Deep_Context_Recovery_Addendum_2026-09-03.md — Clarification, ambiguity, and authority-gated activation patterns (related_architectural_context)",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Minor version: compatible semantic detail, metadata, examples, and behavior cases were added without changing package identity.","The catalog directly recovers the materiality test, ask-only-when-needed rule, and best-effort assumption fallback; no direct package-specific mention was located in the Deep Context Addendum."
cognitive-governor,T3-17,Reasoning Budget / Cognitive Governor,1.0.0,1.1.0,meta-control;planning-reasoning,sufficiently-recovered,OS_Upgradeable_to_Skills_Translation_Catalog_v2_Recovery_Merged.md — T3-17. Reasoning Budget / Cognitive Governor (recovered-operational-definition); OS_Upgradeables_Historical_Recovery_Inventory.md — 8. Tier-3 / Paper-Author alignment family recovered from late-November work (recovered-name-and-use); OS_Upgradeables_Deep_Context_Recovery_Addendum_2026-09-03.md — 9. BOUNDED EXIT — DEEPER HISTORICAL USE (deep-recovered-budget-role),PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Minor version: compatible semantic detail, metadata, examples, and behavior cases were added without changing package identity.","Recovered sources explicitly connect the governor to complexity, risk, expected value, over-polishing, endless recursion, and reasoning cost."
coherence-heartbeat,A-04,Global Coherence Heartbeat,1.0.0,1.1.0,validation;state,sufficiently-recovered,OS_Upgradeable_to_Skills_Translation_Catalog_v2_Recovery_Merged.md — A-04. Global Coherence Heartbeat (current_consolidated_catalog); OS_Upgradeables_Historical_Recovery_Inventory.md — A-04. Global Coherence Heartbeat (historical_recovery_inventory); OS_Upgradeables_Deep_Context_Recovery_Addendum_2026-09-03.md — Coherence Heartbeat (recovered_architectural_context),PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Minor version: compatible semantic detail, metadata, examples, and behavior cases were added without changing package identity.",Recovered as a recurring global-coherence mechanism; explicit delta signaling preserves its lightweight monitoring role.
coherence-loops,A-11,Coherence Loops,1.0.0,1.1.0,validation;editing-repair,sufficiently-recovered,OS_Upgradeable_to_Skills_Translation_Catalog_v2_Recovery_Merged.md — A-11. Coherence Loops (current_consolidated_catalog); OS_Upgradeables_Historical_Recovery_Inventory.md — A-11. Coherence Loops (historical_recovery_inventory); OS_Upgradeables_Deep_Context_Recovery_Addendum_2026-09-03.md — 9. BOUNDED EXIT (recovered_operating_detail),PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Minor version: compatible semantic detail, metadata, examples, and behavior cases were added without changing package identity.",The recovered looping function is made safe through the source's bounded-convergence and ExIt logic.
compute-adaptive-drift,T4-10,Compute-Adaptive Drift Constraining,1.0.0,1.1.0,drift-control;meta-control,strongly-derivable,"OS_Upgradeable_to_Skills_Translation_Catalog_v2_Recovery_Merged.md — Compute-Adaptive Drift (purpose_level_recovery); OS_Upgradeables_Historical_Recovery_Inventory.md — Compute-Adaptive Drift inventory entry (historical_inventory); OS_Upgradeables_Deep_Context_Recovery_Addendum_2026-09-03.md — Drift widths, stability guards, and capability scaling (related_architectural_context)",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Minor version: compatible semantic detail, metadata, examples, and behavior cases were added without changing package identity.","The purpose is directly recovered, but the detailed calibration profile is a conservative normalization from capability-scaling and drift-width architecture."
contradiction-micro-repair,T4-04,Contradiction Micro-Repair Pack,1.0.0,1.1.0,editing-repair;validation,strongly-derivable,OS_Upgradeable_to_Skills_Translation_Catalog_v2_Recovery_Merged.md — T4-04. Contradiction Micro-Repair Pack (recovered-compact-definition); OS_Upgradeables_Historical_Recovery_Inventory.md — 10. Tier-4 / Meta-Supervisor recovered family (recovered-name-and-placement),PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Minor version: compatible semantic detail, metadata, examples, and behavior cases were added without changing package identity.",The direct historical definition is compact; the claim-pair normalization and retest procedure is conservatively derived from that definition plus recovered consistency doctrine.
controlled-drift-corridors,T3-02,Controlled Drift Corridors,1.0.0,1.1.0,drift-control;truth-grounding,sufficiently-recovered,OS_Upgradeable_to_Skills_Translation_Catalog_v2_Recovery_Merged.md — Controlled Drift Corridors (current_consolidated_catalog); OS_Upgradeables_Historical_Recovery_Inventory.md — Controlled Drift Corridors inventory entry (historical_inventory); OS_Upgradeables_Deep_Context_Recovery_Addendum_2026-09-03.md — Opt-in drift widths and corridor mapping (deep_context_support),PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Minor version: compatible semantic detail, metadata, examples, and behavior cases were added without changing package identity.","Catalog recovery and addendum drift-width material directly support opt-in, region-specific bounded transformation."
