slug,version,runtime_form,runtime_injectable,micro_directive_review,standard_directive_review,full_directive_review,state_contract_review,validator_review,orchestration_review,tool_requirement_review,strong_model_scaling_review,small_model_expansion_review,conflict_review,dedupe_review,source_support,final_status,notes
activation-budget-funnel,1.1.0,state-contract,false,N/A,N/A,N/A,PASS,N/A,N/A,N/A,PASS,N/A,PASS,N/A,sufficiently-recovered,PASS,Normalized from the hardened compact runtime card.
adapter-first-experimentation,1.1.0,orchestration-control,false,N/A,N/A,N/A,N/A,N/A,PASS,N/A,PASS,N/A,PASS,N/A,sufficiently-recovered,PASS,Normalized from the hardened compact runtime card.
anti-tunnel-vision,1.1.0,mixed,true,PASS,PASS,PASS,N/A,PASS,N/A,N/A,PASS,PASS,PASS,PASS,sufficiently-recovered,PASS,Normalized from the hardened compact runtime card.
architect-orchestrator,1.1.0,orchestration-control,false,N/A,N/A,N/A,N/A,N/A,PASS,N/A,PASS,N/A,PASS,N/A,sufficiently-recovered,PASS,Normalized from the hardened compact runtime card.
attention-compression-scaffold,1.1.0,state-contract,false,N/A,N/A,N/A,PASS,N/A,N/A,N/A,PASS,N/A,PASS,N/A,source-gap,PASS_WITH_LIMITATION,Normalized from the hardened compact runtime card; historical source gap retained.
authenticity-anti-evasion,1.1.0,mixed,true,PASS,PASS,PASS,N/A,N/A,N/A,N/A,PASS,PASS,PASS,N/A,sufficiently-recovered,PASS,Normalized from the hardened compact runtime card.
authority-anchor-enforcement,1.1.0,orchestration-control,false,N/A,N/A,N/A,N/A,N/A,PASS,N/A,PASS,N/A,PASS,PASS,source-gap,PASS_WITH_LIMITATION,Normalized from the hardened compact runtime card; historical source gap retained.
behavior-gene-builder,1.1.0,not-runtime-injectable,false,N/A,N/A,N/A,N/A,N/A,N/A,N/A,PASS,N/A,PASS,N/A,sufficiently-recovered,NOT_RUNTIME_INJECTABLE,Normalized from the hardened compact runtime card.
bidirectional-consistency,1.1.0,validator-check,false,N/A,N/A,N/A,N/A,PASS,N/A,N/A,PASS,N/A,PASS,N/A,sufficiently-recovered,PASS,Normalized from the hardened compact runtime card.
bounded-exit,1.1.0,mixed,true,PASS,PASS,PASS,N/A,PASS,N/A,N/A,PASS,PASS,PASS,PASS,sufficiently-recovered,PASS,Normalized from the hardened compact runtime card.
citation-fidelity,1.1.0,validator-check,false,N/A,N/A,N/A,N/A,PASS,N/A,N/A,PASS,N/A,PASS,PASS,sufficiently-recovered,PASS,Normalized from the hardened compact runtime card.
clarification-gateway,1.1.0,orchestration-control,false,N/A,N/A,N/A,N/A,N/A,PASS,N/A,PASS,N/A,PASS,N/A,sufficiently-recovered,PASS,Normalized from the hardened compact runtime card.
cognitive-governor,1.1.0,instruction-directive,true,PASS,PASS,PASS,N/A,N/A,N/A,N/A,PASS,PASS,PASS,N/A,sufficiently-recovered,PASS,Normalized from the hardened compact runtime card.
coherence-heartbeat,1.1.0,mixed,true,PASS,PASS,PASS,PASS,PASS,N/A,N/A,PASS,PASS,PASS,N/A,sufficiently-recovered,PASS,Normalized from the hardened compact runtime card.
coherence-loops,1.1.0,mixed,true,PASS,PASS,PASS,N/A,PASS,N/A,N/A,PASS,PASS,PASS,N/A,sufficiently-recovered,PASS,Normalized from the hardened compact runtime card.
compute-adaptive-drift,1.1.0,host-behavior,true,PASS,PASS,PASS,N/A,N/A,N/A,N/A,PASS,PASS,PASS,N/A,strongly-derivable,PASS,Normalized from the hardened compact runtime card.
contradiction-micro-repair,1.1.0,mixed,true,PASS,PASS,PASS,N/A,PASS,N/A,N/A,PASS,PASS,PASS,N/A,strongly-derivable,PASS,Normalized from the hardened compact runtime card.
controlled-drift-corridors,1.1.0,instruction-directive,true,PASS,PASS,PASS,N/A,N/A,N/A,N/A,PASS,PASS,PASS,N/A,sufficiently-recovered,PASS,Normalized from the hardened compact runtime card.
cot-structured-state-block,1.1.0,state-contract,false,N/A,N/A,N/A,PASS,N/A,N/A,N/A,PASS,N/A,PASS,N/A,strongly-derivable,PASS,Normalized from the hardened compact runtime card.
counterfactual-integrity,1.1.0,instruction-directive,true,PASS,PASS,PASS,N/A,N/A,N/A,N/A,PASS,PASS,PASS,N/A,sufficiently-recovered,PASS,Normalized from the hardened compact runtime card.
counterfactual-silence-scaffold,1.1.0,mixed,true,PASS,PASS,PASS,N/A,N/A,N/A,N/A,PASS,PASS,PASS,N/A,source-gap,PASS_WITH_LIMITATION,Normalized from the hardened compact runtime card; historical source gap retained.
crispr-edit,1.1.0,instruction-directive,true,PASS,PASS,PASS,N/A,N/A,N/A,N/A,PASS,PASS,PASS,PASS,sufficiently-recovered,PASS,Normalized from the hardened compact runtime card.
critical-atomic-verification,1.1.0,validator-check,false,N/A,N/A,N/A,N/A,PASS,N/A,N/A,PASS,N/A,PASS,PASS,sufficiently-recovered,PASS,Normalized from the hardened compact runtime card.
cross-checking-chains,1.1.0,validator-check,false,N/A,N/A,N/A,N/A,PASS,N/A,N/A,PASS,N/A,PASS,PASS,sufficiently-recovered,PASS,Normalized from the hardened compact runtime card.
cross-context-resonance-lock,1.1.0,orchestration-control,false,N/A,N/A,N/A,N/A,N/A,PASS,N/A,PASS,N/A,PASS,N/A,source-gap,PASS_WITH_LIMITATION,Normalized from the hardened compact runtime card; historical source gap retained.
cross-universe-consistency,1.1.0,validator-check,false,N/A,N/A,N/A,N/A,PASS,N/A,N/A,PASS,N/A,PASS,N/A,sufficiently-recovered,PASS,Normalized from the hardened compact runtime card.
decision-first-scaffold,1.1.0,mixed,true,PASS,PASS,PASS,N/A,N/A,N/A,N/A,PASS,PASS,PASS,N/A,source-gap,PASS_WITH_LIMITATION,Normalized from the hardened compact runtime card; historical source gap retained.
domain-core-builder,1.1.0,not-runtime-injectable,false,N/A,N/A,N/A,N/A,N/A,N/A,N/A,PASS,N/A,PASS,N/A,strongly-derivable,NOT_RUNTIME_INJECTABLE,Normalized from the hardened compact runtime card.
domain-mode-isolation,1.1.0,orchestration-control,false,N/A,N/A,N/A,N/A,N/A,PASS,N/A,PASS,N/A,PASS,N/A,sufficiently-recovered,PASS,Normalized from the hardened compact runtime card.
domain-normalized-drift,1.1.0,instruction-directive,true,PASS,PASS,PASS,N/A,N/A,N/A,N/A,PASS,PASS,PASS,N/A,strongly-derivable,PASS,Normalized from the hardened compact runtime card.
