source,source_type,date_accessed,task_domain,claim_or_pattern,supports_archetype,supports_failure_mode,supports_environment_modifier,notes
"A1 Anthropic Building effective agents https://www.anthropic.com/engineering/building-effective-agents","official provider guidance","2026-09-03","A general agents","Workflows follow predefined paths while agents dynamically direct process and tools; start with the simplest adequate design.","workflow-automation; action-execution; orchestration","over-scaffolding; weak-stopping-rule","tools_required; multi_agent_available; latency_or_cost_constrained","Evidence summary; supports execution-form distinctions, not task prevalence or Upgradeable efficacy."
"A2 OpenAI A practical guide to building agents https://openai.com/business/guides-and-resources/a-practical-guide-to-building-ai-agents/","official provider guidance","2026-09-03","A general agents","Agents manage workflows with tools and guardrails; data tools and action tools have different functions and risks.","tool-mediated-retrieval; action-execution; workflow-automation","tool-selection-error; action-authority-violation","tools_required; irreversible_action; human_approval_available","Evidence summary; product guidance generalized only at the control-pattern level."
"A3 GAIA https://arxiv.org/abs/2311.12983","peer-reviewed benchmark paper","2026-09-03","A general agents","General-assistant questions can combine reasoning, web browsing, multimodal handling, and tool use while retaining verifiable answers.","knowledge-explanation; research-grounding; quantitative-analysis","under-verification; context-overload-or-loss","web_available; multimodal_input; tools_required","Benchmark inclusion shows a capability bundle, not real-world prevalence."
"A4 AgentBench https://arxiv.org/abs/2308.03688","peer-reviewed benchmark paper","2026-09-03","A general agents","Multi-turn agents are evaluated across eight interactive environments; reported obstacles include long-term reasoning, decision-making, and instruction following.","action-execution; tool-mediated-retrieval; stateful-project-work","task-drift; tool-selection-error; weak-stopping-rule","tools_required; persistent_work","Evidence is bounded to benchmark environments."
"A5 Anthropic multi-agent research system https://www.anthropic.com/engineering/multi-agent-research-system","official provider engineering report","2026-09-03","A general agents","Parallel workers help breadth-heavy independent research, while vague delegation causes duplicate work and gaps.","research-grounding; orchestration","duplicate-or-gapped-delegation; task-drift","multi_agent_available; latency_or_cost_constrained","Evidence supports conditional orchestration and explicit worker boundaries."
"A6 Anthropic Trustworthy agents in practice https://www.anthropic.com/research/trustworthy-agents","official provider guidance","2026-09-03","A general agents","Agent loops plan, act, observe, and adjust under principles of human control, transparency, security, and privacy.","action-execution; workflow-automation","action-authority-violation; weak-stopping-rule","human_approval_available; irreversible_action; sensitive_data","Evidence summary; not a complete safety policy."
"B1 SWE-bench https://arxiv.org/abs/2310.06770","peer-reviewed benchmark paper","2026-09-03","B software engineering","Issue resolution can require repository understanding, coordinated multi-file edits, execution environments, and long context.","repository-understanding; localized-repair; issue-to-patch","context-mislocalization; incomplete-change-coverage","large_repository; tests_available; long_context","Benchmark tasks do not cover all software engineering."
"B2 RepoBench https://arxiv.org/abs/2306.03091","benchmark paper","2026-09-03","B software engineering","Repository-level completion separates cross-file retrieval, completion, and the integrated pipeline.","repository-understanding; code-localization; feature-implementation","context-mislocalization; incomplete-change-coverage","large_repository; multi_file_contract","Supports separating retrieval from change execution."
"B3 OpenAI Introducing SWE-bench Verified https://openai.com/index/introducing-swe-bench-verified/","official benchmark analysis","2026-09-03","B software engineering","Human review found underspecified issues and tests that could reject valid solutions, motivating a screened subset.","issue-to-patch; localized-repair; test-engineering","underspecified-task; test-oracle-mismatch","acceptance_criteria_present; tests_available","Evidence supports treating specification and oracle fitness separately."
"B4 OpenAI SWE-bench Verified reassessment https://openai.com/index/why-we-no-longer-evaluate-swe-bench-verified/","official benchmark analysis","2026-09-03","B software engineering","Contamination and flawed tasks can make a benchmark unsuitable for measuring frontier capability even when the workflow remains relevant.","issue-to-patch; evaluation-audit","test-oracle-mismatch; evaluation-overclaim","tests_available; time_sensitive","Do not infer arbitrary production ability from benchmark scores."
"B5 Anthropic Claude Code best practices https://www.anthropic.com/engineering/claude-code-best-practices","official provider engineering guidance","2026-09-03","B software engineering","Explore-plan-code-commit and test-first loops separate understanding, implementation, and verification; project instructions provide commands and conventions.","repository-understanding; feature-implementation; test-engineering","premature-edit; environment-assumption","repository_instructions_present; tests_available; shell_available","Guidance supplies workflow patterns, not mandatory phases for trivial edits."
"B6 SWE-agent https://arxiv.org/abs/2405.15793","peer-reviewed benchmark/agent paper","2026-09-03","B software engineering","Common issue-solving operations include reproducing, localizing, editing, and verifying.","bug-diagnosis; code-localization; localized-repair; issue-to-patch","surface-repair; weak-verification","reproduction_available; tests_available; shell_available","Supports phase modeling rather than one monolithic coding category."
