slug,version,plain_display_name,primary_task_archetypes,secondary_task_archetypes,primary_failure_modes,secondary_failure_modes,pipeline_stages,environment_promoters,environment_demoters,default_complexity_min,default_complexity_max,project_profile_priors,normally_exclude_for,escalates_from,escalates_to,counterbalance_notes,source_support,review_status,notes
activation-budget-funnel,1.1.0,Progressive Context Intake,"[""content-understanding"", ""research-grounding""]","[""content-authoring"", ""workflow-automation""]","[""context-overload"", ""evidence-coverage-gap""]","[""provenance-loss"", ""lost-state""]","[""retrieval"", ""evidence capture"", ""indexing"", ""synthesis"", ""pre-output verification""]","[""long_context"", ""multi_document"", ""context_window_pressure"", ""has_supplied_sources"", ""persistent_work""]",[],L2,L4,"[""research"", ""long-context"", ""medical-evidence"", ""legal-evidence"", ""agent-development""]","[""knowledge-explanation"", ""creative-exploration"", ""constraint-reasoning""]","[""scoped-loader""]","[""attention-compression-scaffold"", ""stable-long-context""]","[{""slug"": ""anti-tunnel-vision"", ""reason"": ""A narrow active batch must not hide a plausible competing source or interpretation.""}]",sufficiently-recovered,PASS,Consider when many sources or modules compete for attention; exclude when one short source fits comfortably.
adapter-first-experimentation,1.1.0,Adapter-First Experimentation,"[""workflow-automation"", ""skill-agent-creation""]","[""planning-design"", ""software-engineering""]","[""invariant-violation"", ""invalid-validation-signal""]","[""over-branching"", ""packaging-activation-drift""]","[""experiment design"", ""detached trial"", ""evaluation"", ""promotion or retirement""]","[""recurrence_pattern_stable"", ""tools_required"", ""durable_state_available"", ""acceptance_criteria_present"", ""branches_independent""]","[""irreversible_action"", ""high_stakes""]",L3,L5,"[""agent-development"", ""software-development""]","[""knowledge-explanation"", ""content-understanding"", ""content-transformation"", ""action-execution""]","[""crispr-edit""]","[""architect-orchestrator"", ""future-proof-mode-selector""]","[{""slug"": ""meta-stability"", ""reason"": ""Preserve the trusted base while the detached capability is evaluated.""}]",sufficiently-recovered,PASS,"A high-cost prior for measurable, interface-isolated experiments; mandatory repairs should not be routed through it."
anti-tunnel-vision,1.1.0,Anti-Tunnel Vision,"[""decision-support"", ""research-grounding""]","[""software-engineering"", ""planning-design"", ""creative-exploration""]","[""premature-commitment"", ""tunnel-vision""]","[""evidence-coverage-gap"", ""poor-uncertainty-handling""]","[""hypothesis formation"", ""plan selection"", ""pre-commit review""]","[""evidence_conflicting"", ""missing_required_information"", ""high_stakes"", ""branches_independent""]","[""deterministic_verifier_available""]",L1,L3,"[""general"", ""research"", ""software-development"", ""data-analysis""]","[""content-transformation"", ""action-execution""]","[""decision-first-scaffold""]","[""multiverse-reasoning""]","[{""slug"": ""neuro-focus"", ""reason"": ""Collapse breadth once evidence discriminates so search does not become unbounded.""}]",sufficiently-recovered,PASS,"Promotes a bounded alternative check, not open-ended branching; direct authoritative answers suppress it."
architect-orchestrator,1.1.0,Modular System Design Orchestrator,"[""planning-design"", ""skill-agent-creation""]","[""workflow-automation"", ""software-engineering""]","[""orchestration-fragmentation"", ""packaging-activation-drift""]","[""over-branching"", ""mode-scope-authority-drift"", ""poor-handoff""]","[""intake and framing"", ""modular planning"", ""execution coordination"", ""critique and synthesis"", ""state handoff""]","[""recurrence_pattern_stable"", ""persistent_work"", ""durable_state_available"", ""branches_independent"", ""multi_agent_available""]","[""tightly_shared_state""]",L3,L5,"[""agent-development"", ""software-development""]","[""knowledge-explanation"", ""content-understanding"", ""content-transformation"", ""quantitative-analysis""]","[""decision-first-scaffold"", ""task-set-lock-in""]","[""meta-supervisor"", ""ultimate-suite-supervisor""]","[{""slug"": ""cognitive-governor"", ""reason"": ""Architecture coordination must remain within a justified effort and continuation budget.""}]",sufficiently-recovered,PASS,"Use for genuine Skill, OS, framework, or workflow architecture—not narrow domain execution."
attention-compression-scaffold,1.1.0,Temporary Focused-Context View,"[""content-understanding""]","[""research-grounding"", ""software-engineering"", ""workflow-automation""]","[""context-overload"", ""provenance-loss""]","[""lost-state"", ""evidence-coverage-gap""]","[""post-retrieval"", ""pre-synthesis"", ""context refresh""]","[""long_context"", ""multi_document"", ""context_window_pressure"", ""persistent_work""]","[""requires_exact_fidelity"", ""contains_protected_literals""]",L2,L4,"[""long-context"", ""research"", ""software-development""]","[""knowledge-explanation"", ""creative-exploration"", ""action-execution""]","[""activation-budget-funnel"", ""scoped-loader""]","[""stable-long-context""]","[{""slug"": ""zero-drift-zones"", ""reason"": ""Compression must not alter protected facts, constraints, or literals.""}]",source-gap,PASS,Use only with provenance pointers that allow re-expansion; exact wording that must remain live demotes it.
authenticity-anti-evasion,1.1.0,Capability and Completion Honesty Gate,"[""evaluation-audit"", ""action-execution"", ""workflow-automation""]","[""research-grounding"", ""software-engineering""]","[""capability-hallucination"", ""under-verification""]","[""unsupported-claim"", ""abstention-miscalibration""]","[""during-execution"", ""pre-output-verification""]","[""tools_required"", ""external_action_allowed"", ""evidence_unavailable"", ""high_stakes"", ""persistent_work""]",[],L1,L4,"[""agent-development"", ""software-development"", ""research""]","[""creative-exploration"", ""content-transformation""]","[""grounding-no-invention""]","[""critical-atomic-verification"", ""fail-closed-abstention""]",[],sufficiently-recovered,PASS,"Applies to auditable claims about evidence, actions, capabilities, or completion; it must not request hidden reasoning."
authority-anchor-enforcement,1.1.0,Authority Anchor Enforcement,"[""action-execution"", ""workflow-automation""]","[""evaluation-audit"", ""software-engineering""]","[""mode-scope-authority-drift"", ""action-permission-risk""]","[""domain-context-contamination"", ""branch-contamination""]","[""intake authority capture"", ""pre-action authorization"", ""conflict resolution""]","[""external_action_allowed"", ""file_write_allowed"", ""editing_requested"", ""high_stakes"", ""multi_agent_available""]","[""missing_required_information""]",L1,L4,"[""agent-development"", ""software-development"", ""legal-evidence""]","[""knowledge-explanation"", ""creative-exploration""]","[""task-set-lock-in"", ""mode-lock-in""]","[""non-authoritative-branch-suppression""]",[],source-gap,PASS,Requires an identifiable governing authority; capability or credential scope alone is not authorization.
behavior-gene-builder,1.1.0,Reusable Behavior Component Builder,"[""skill-agent-creation"", ""workflow-automation""]","[""planning-design"", ""content-authoring""]","[""packaging-activation-drift"", ""version-drift""]","[""context-overload"", ""domain-context-contamination""]","[""recurrence analysis"", ""gene specification"", ""validation"", ""versioned publication""]","[""recurrence_pattern_stable"", ""structured_output_required"", ""persistent_work"", ""has_supplied_sources""]","[""missing_required_information""]",L3,L4,"[""agent-development""]","[""knowledge-explanation"", ""content-understanding"", ""action-execution""]","[""architect-orchestrator""]","[""resonance-gene-builder"", ""domain-core-builder""]","[{""slug"": ""domain-core-builder"", ""reason"": ""Keep reusable behavior separate from sourced domain knowledge and decision logic.""}]",sufficiently-recovered,PASS,A recurring task family and stable behavioral contract are prerequisites; one-off behavior should not become a Gene.
bidirectional-consistency,1.1.0,Bidirectional Consistency,"[""content-transformation"", ""evaluation-audit""]","[""software-engineering"", ""quantitative-analysis"", ""planning-design""]","[""invariant-violation"", ""invalid-validation-signal""]","[""unsupported-claim"", ""constraint-loss""]","[""post-transformation"", ""pre-release-validation""]","[""requires_exact_fidelity"", ""contains_protected_literals"", ""structured_output_required"", ""deterministic_verifier_available""]",[],L1,L3,"[""documentation"", ""software-development"", ""data-analysis"", ""research""]","[""creative-exploration"", ""knowledge-explanation""]","[""citation-fidelity"", ""critical-atomic-verification""]","[""multi-layer-consistency""]","[{""slug"": ""controlled-drift-corridors"", ""reason"": ""Reverse checks must respect intentionally lossy or authorized transformations.""}]",sufficiently-recovered,PASS,Use when a reverse mapping is meaningful; intentionally irreversible creative transformations normally exclude it.
bounded-exit,1.1.0,Bounded Iteration Stop Rule,"[""workflow-automation"", ""evaluation-audit"", ""content-authoring""]","[""software-engineering"", ""research-grounding""]","[""weak-stopping-rule"", ""over-verification""]","[""over-branching""]","[""draft review"", ""iterative repair"", ""release decision""]","[""persistent_work"", ""context_window_pressure"", ""tools_required""]",[],L1,L4,"[""general"", ""authoring"", ""software-development"", ""research"", ""agent-development""]","[""knowledge-explanation"", ""constraint-reasoning""]","[""structured-refinement""]","[""cognitive-governor"", ""reasoning-scale-controller""]","[{""slug"": ""reasoning-scale-controller"", ""reason"": ""Stopping thresholds should reflect the task's justified reasoning depth.""}]",sufficiently-recovered,PASS,Bounds iterative improvement but never permits exit before a mandatory validator or unresolved hard defect.
